GENE	TREENESS_RATIO	treeness	RCV
100008at147545	9.9092	0.9299	0.0938
100064at147545	7.6237	0.9046	0.1187
100092at147545	5.4073	0.5935	0.1098
100165at147545	1.9091	0.1421	0.0745
10018at147545	3.2472	0.2936	0.0904
100217at147545	3.132	0.5312	0.1696
100255at147545	1.7599	0.7791	0.4427
100287at147545	0.6016	0.3387	0.563
100292at147545	4.2237	0.5131	0.1215
100306at147545	14.5305	0.7539	0.0519
100316at147545	17.8649	0.5185	0.029
100337at147545	1.9363	0.4512	0.233
100344at147545	4.8736	0.4606	0.0945
100375at147545	6.0387	0.3889	0.0644
100376at147545	12.6513	0.7273	0.0575
100432at147545	8.2148	0.8428	0.1026
10044at147545	3.736	0.4344	0.1163
100457at147545	3.3526	0.3947	0.1177
100489at147545	24.6189	0.921	0.0374
100513at147545	3.0809	0.2972	0.0965
100520at147545	3.167	0.3886	0.1227
100521at147545	6.622	0.4623	0.0698
100525at147545	4.912	0.7503	0.1527
100536at147545	2.6603	0.459	0.1726
100544at147545	2.9845	0.8243	0.2762
100555at147545	4.2155	0.4664	0.1106
100577at147545	1.7339	0.4657	0.2686
10057at147545	1.978	0.4908	0.2481
100596at147545	8.6953	0.5959	0.0685
10065at147545	5.9992	0.8745	0.1458
100704at147545	12.0952	0.4212	0.0348
100729at147545	11.1992	0.8716	0.0778
100737at147545	13.3579	0.5327	0.0399
100738at147545	4.5247	0.617	0.1364
100741at147545	2.9144	0.3764	0.1292
100767at147545	12.5636	0.9211	0.0733
100804at147545	6.5408	0.9225	0.141
10080at147545	6.2442	0.4356	0.0698
100855at147545	5.4099	0.9149	0.1691
100859at147545	13.0791	0.9301	0.0711
100882at147545	9.2365	0.9206	0.0997
10093at147545	3.561	0.5036	0.1414
100955at147545	3.7457	0.4394	0.1173
100962at147545	10.7213	0.8669	0.0809
100998at147545	16.9121	0.9228	0.0546
10108at147545	5.1859	0.8233	0.1588
101134at147545	10.1683	0.6429	0.0632
101153at147545	5.2328	0.4061	0.0776
101260at147545	6.0267	0.294	0.0488
101326at147545	3.6151	0.7343	0.2031
101348at147545	12.7068	0.6356	0.05
101352at147545	1.9982	0.6147	0.3076
101370at147545	5.2892	0.4294	0.0812
101406at147545	6.3397	0.5002	0.0789
101424at147545	42.1262	0.8419	0.02
10144at147545	13.4507	0.9364	0.0696
101460at147545	4.7943	0.678	0.1414
101524at147545	2.9693	0.1883	0.0634
101525at147545	4.1439	0.4124	0.0995
101545at147545	6.339	0.8679	0.1369
101552at147545	7.9492	0.9548	0.1201
101574at147545	13.1368	0.4643	0.0353
101588at147545	2.0618	0.5109	0.2478
101702at147545	3.9119	0.782	0.1999
101765at147545	5.3314	0.9742	0.1827
101771at147545	2.6406	0.5762	0.2182
101788at147545	8.6617	0.8207	0.0948
101795at147545	9.668	0.6464	0.0669
101803at147545	18.4519	0.571	0.0309
10183at147545	1.793	0.2719	0.1517
10187at147545	12.7458	0.7084	0.0556
101882at147545	2.87	0.4885	0.1702
101901at147545	8.1775	0.8687	0.1062
101929at147545	4.2192	0.4934	0.1169
101957at147545	7.3926	0.7066	0.0956
101958at147545	1.9406	0.3031	0.1562
102024at147545	3.6121	0.5364	0.1485
102054at147545	3.7775	0.5293	0.1401
102089at147545	2.2258	0.4063	0.1825
102114at147545	2.4177	0.7304	0.3021
102189at147545	3.8205	0.5805	0.152
102223at147545	7.6615	0.9484	0.1238
102229at147545	6.1044	0.8495	0.1392
10234at147545	7.7572	0.5812	0.0749
102406at147545	2.3094	0.1636	0.0708
10240at147545	3.2138	0.4668	0.1452
10243at147545	5.9716	0.3137	0.0525
102449at147545	8.6061	0.8373	0.0973
102455at147545	2.137	0.3494	0.1635
102473at147545	2.766	0.2862	0.1035
10249at147545	2.8211	0.296	0.1049
102519at147545	7.2833	0.6273	0.0861
102540at147545	14.4831	0.509	0.0351
102553at147545	3.0739	0.7202	0.2343
102617at147545	6.4902	0.4243	0.0654
102635at147545	4.8382	0.5709	0.118
102637at147545	4.221	0.4822	0.1142
102648at147545	1.9956	0.4066	0.2038
102682at147545	19.8858	0.8334	0.0419
10278at147545	17.857	0.9112	0.051
102831at147545	4.7224	0.5389	0.1141
102869at147545	6.935	0.8496	0.1225
102917at147545	4.639	0.723	0.1559
102942at147545	26.9073	0.9586	0.0356
102987at147545	14.7996	0.9886	0.0668
103059at147545	1.3741	0.2052	0.1493
103174at147545	5.9525	0.9103	0.1529
103229at147545	2.4133	0.3463	0.1435
103233at147545	5.1851	0.8998	0.1735
103252at147545	7.1074	0.8398	0.1182
103280at147545	2.2528	0.4186	0.1858
103284at147545	6.5463	0.8893	0.1358
10330at147545	24.184	0.9308	0.0385
103351at147545	4.7813	0.5641	0.118
103354at147545	3.6906	0.5864	0.1589
103488at147545	5.9022	0.2719	0.0461
103491at147545	21.2995	0.9783	0.0459
103495at147545	1.8942	0.4228	0.2232
103545at147545	1.7824	0.2051	0.1151
103547at147545	12.4097	0.7706	0.0621
10354at147545	3.2786	0.4918	0.15
103576at147545	2.4332	0.4739	0.1948
103613at147545	22.0913	0.8558	0.0387
103701at147545	2.7929	0.6855	0.2455
103719at147545	4.5524	0.3446	0.0757
103721at147545	2.4516	0.6459	0.2635
103754at147545	7.1987	0.849	0.1179
103769at147545	2.3739	0.4289	0.1807
1037at147545	0.7867	0.3043	0.3868
103811at147545	8.5095	0.873	0.1026
103814at147545	1.0179	0.1303	0.128
10381at147545	2.6995	0.6624	0.2454
103822at147545	3.2403	0.4791	0.1478
103826at147545	3.379	0.4181	0.1237
103870at147545	8.9209	0.7138	0.08
103872at147545	2.5845	0.5781	0.2237
103906at147545	4.7573	0.9066	0.1906
103916at147545	5.6453	0.6043	0.107
103933at147545	18.6482	0.6145	0.033
103970at147545	3.0677	0.3798	0.1238
104034at147545	6.4993	0.843	0.1297
104070at147545	3.7645	0.2002	0.0532
104083at147545	9.288	0.8074	0.0869
104148at147545	5.947	0.9114	0.1533
104149at147545	11.4183	0.9098	0.0797
104175at147545	10.9666	0.8049	0.0734
104205at147545	3.2151	0.5951	0.1851
104226at147545	2.4443	0.2932	0.12
104252at147545	6.5164	0.8122	0.1246
104345at147545	4.0799	0.8268	0.2027
104348at147545	6.5031	0.6301	0.0969
104385at147545	0.8768	0.3344	0.3814
104406at147545	1.0227	0.2182	0.2133
104412at147545	2.1466	0.208	0.0969
104427at147545	0.958	0.1542	0.161
104484at147545	3.7551	0.8364	0.2227
104489at147545	4.561	0.3052	0.0669
1044at147545	4.5173	0.2704	0.0599
10450at147545	5.1102	0.6368	0.1246
104555at147545	3.4733	0.7112	0.2048
104627at147545	6.2426	0.4717	0.0756
104636at147545	3.1194	0.3101	0.0994
1046at147545	2.5996	0.5808	0.2234
104760at147545	3.284	0.4628	0.1409
104778at147545	0.7704	0.3034	0.3938
104869at147545	2.5445	0.5824	0.2289
10488at147545	5.2353	0.7962	0.1521
104917at147545	2.9476	0.2592	0.088
104929at147545	4.1318	0.7335	0.1775
104936at147545	6.2267	0.3838	0.0616
104938at147545	3.0718	0.3718	0.1211
105063at147545	3.9478	0.5841	0.148
10508at147545	4.149	0.4064	0.0979
105164at147545	4.0545	0.5039	0.1243
105238at147545	3.2882	0.5683	0.1728
105240at147545	7.5429	0.6404	0.0849
105318at147545	3.5784	0.4534	0.1267
105327at147545	5.8087	0.619	0.1066
105354at147545	9.2784	0.4525	0.0488
105359at147545	7.7106	0.9282	0.1204
105367at147545	1.0172	0.3221	0.3167
10536at147545	2.0906	0.433	0.2071
105379at147545	7.6326	0.4387	0.0575
105434at147545	0.5455	0.3523	0.6459
105456at147545	3.4287	0.3883	0.1132
105463at147545	8.1419	0.5996	0.0736
105481at147545	8.4761	0.322	0.038
105486at147545	7.5562	0.7714	0.1021
10553at147545	8.6779	0.226	0.026
105544at147545	4.1828	0.3414	0.0816
105563at147545	2.7003	0.5023	0.186
10563at147545	3.0749	0.4781	0.1555
105685at147545	3.8509	0.8535	0.2216
105743at147545	2.2629	0.7339	0.3243
10574at147545	4.309	0.5521	0.1281
105762at147545	2.036	0.391	0.192
105767at147545	4.1104	0.3671	0.0893
10581at147545	2.6873	0.3958	0.1473
105841at147545	3.9158	0.7935	0.2026
105875at147545	2.9583	0.5845	0.1976
105892at147545	2.8614	0.5737	0.2005
105928at147545	1.3183	0.2251	0.1707
105933at147545	2.5677	0.181	0.0705
105997at147545	3.8423	0.5477	0.1425
106026at147545	4.599	0.4663	0.1014
106063at147545	6.0837	0.4512	0.0742
106069at147545	9.7654	0.5819	0.0596
10607at147545	5.5241	0.5905	0.1069
10613at147545	1.925	0.2743	0.1425
106146at147545	8.9068	0.8982	0.1008
106210at147545	5.0232	0.3594	0.0715
106226at147545	2.5387	0.5448	0.2146
106247at147545	3.9271	0.5458	0.139
10625at147545	0.1564	0.0186	0.1191
106293at147545	4.5181	0.3973	0.0879
10634at147545	5.8419	0.6125	0.1049
106352at147545	12.364	0.4365	0.0353
106374at147545	2.686	0.4134	0.1539
106411at147545	1.3221	0.4157	0.3144
106412at147545	5.8899	0.4682	0.0795
106463at147545	5.0844	0.3718	0.0731
106474at147545	2.517	0.4175	0.1659
106485at147545	5.0259	0.6693	0.1332
106600at147545	3.8451	0.8355	0.2173
106618at147545	3.1043	0.3935	0.1268
106622at147545	4.3234	0.8748	0.2023
106636at147545	4.9548	0.5421	0.1094
106644at147545	6.7898	0.9531	0.1404
106653at147545	7.4901	0.3629	0.0485
106662at147545	6.4905	0.6835	0.1053
106668at147545	3.933	0.5036	0.1281
106681at147545	4.1576	0.5021	0.1208
10670at147545	3.3541	0.2241	0.0668
106778at147545	9.6184	0.9125	0.0949
106807at147545	6.1525	0.5627	0.0915
106834at147545	5.4218	0.6051	0.1116
106841at147545	6.0984	0.4945	0.0811
106852at147545	18.7816	0.9366	0.0499
10687at147545	2.7379	0.6815	0.2489
1068at147545	3.382	0.6547	0.1936
106905at147545	2.4239	0.2392	0.0987
10690at147545	1.2164	0.1296	0.1065
107009at147545	8.3467	0.6564	0.0786
10707at147545	2.192	0.5302	0.2419
10712at147545	3.2082	0.5566	0.1735
107138at147545	1.5544	0.3601	0.2317
