GENE	TREENESS_RATIO	treeness	RCV
112526at147545	171.0155	0.9995	0.0058
97109at147545	72.5306	0.8841	0.0122
78806at147545	49.0808	0.8142	0.0166
14123at147545	40.0543	0.9159	0.0229
29398at147545	38.5428	0.8034	0.0208
33099at147545	38.2197	0.8644	0.0226
91275at147545	37.9818	0.9453	0.0249
101424at147545	37.9476	0.794	0.0209
122686at147545	35.2433	0.9255	0.0263
60920at147545	32.5259	0.9088	0.0279
37149at147545	31.7397	0.9168	0.0289
50141at147545	31.3403	0.1857	0.0059
118119at147545	31.1966	0.8026	0.0257
70760at147545	30.6595	0.8725	0.0285
47488at147545	30.2964	0.8573	0.0283
117777at147545	30.1249	0.8062	0.0268
61270at147545	29.2229	0.9011	0.0308
111668at147545	29.805	0.6777	0.0227
30420at147545	29.0793	0.9863	0.0339
77476at147545	28.7964	0.868	0.0301
49761at147545	28.393	0.8937	0.0315
55734at147545	27.0416	0.6707	0.0248
30334at147545	27.0037	0.9006	0.0334
102942at147545	26.988	0.9461	0.0351
100489at147545	25.4649	0.9346	0.0367
41498at147545	25.0386	0.654	0.0261
85577at147545	24.6583	0.8602	0.0349
66556at147545	23.9975	0.6204	0.0259
46768at147545	23.2937	0.9239	0.0397
45324at147545	23.2411	0.9268	0.0399
10330at147545	23.454	0.8999	0.0384
103613at147545	22.7516	0.8857	0.0389
107808at147545	22.0661	0.489	0.0222
107636at147545	21.5794	0.7982	0.037
103491at147545	21.2995	0.9783	0.0459
58598at147545	21.2279	0.5526	0.026
119262at147545	21.1967	0.8877	0.0419
92089at147545	21.1616	0.4782	0.0226
54659at147545	21.1285	0.7114	0.0337
69241at147545	21.1034	0.8928	0.0423
74882at147545	21.724	0.8793	0.0405
38709at147545	21.482	0.9352	0.0435
110698at147545	20.9664	0.8136	0.0388
45769at147545	20.8589	0.9189	0.0441
112316at147545	20.8057	0.5621	0.027
115802at147545	20.7603	0.91	0.0438
52223at147545	20.7329	0.8464	0.0408
25804at147545	20.5737	0.8268	0.0402
29210at147545	20.4622	0.8694	0.0425
35215at147545	20.2507	0.8141	0.0402
48331at147545	20.1469	0.8675	0.0431
102682at147545	20.526	0.8383	0.0408
62500at147545	20.398	0.2935	0.0144
7347at147545	19.7284	0.6838	0.0347
103933at147545	19.7189	0.6398	0.0324
24991at147545	19.4985	0.8443	0.0433
31211at147545	19.2919	0.8346	0.0433
27437at147545	18.8418	0.7927	0.0421
89574at147545	18.8019	0.7498	0.0399
33579at147545	18.7729	0.9061	0.0483
106852at147545	18.7582	0.9335	0.0498
112454at147545	18.6178	0.5852	0.0314
46213at147545	18.5128	0.6452	0.0349
55356at147545	18.3303	0.7489	0.0409
99957at147545	18.2067	0.941	0.0517
36195at147545	18.0776	0.9273	0.0513
101803at147545	18.0758	0.5555	0.0307
61608at147545	18.0579	0.788	0.0436
100316at147545	18.425	0.5267	0.0286
74241at147545	18.376	0.7404	0.0403
49601at147545	17.9514	0.8607	0.0479
113970at147545	17.9499	0.9883	0.0551
100998at147545	17.8882	0.9261	0.0518
84804at147545	17.8733	0.9021	0.0505
88296at147545	17.8155	0.7771	0.0436
76922at147545	17.7288	0.8329	0.047
23473at147545	17.6842	0.8682	0.0491
33003at147545	17.6618	0.897	0.0508
97779at147545	17.5276	0.9873	0.0563
22776at147545	17.2796	0.693	0.0401
10278at147545	17.2365	0.8876	0.0515
53863at147545	17.1885	0.8602	0.05
111536at147545	17.0901	0.7918	0.0463
55603at147545	17.521	0.6815	0.0389
6899at147545	17.461	0.8343	0.0478
117172at147545	17.161	0.7399	0.0431
