GENE	TREENESS_RATIO	treeness	RCV
112526at147545	161.5142	0.9994	0.0062
97109at147545	65.4385	0.9191	0.014
50141at147545	44.5642	0.3168	0.0071
14123at147545	37.7796	0.8897	0.0235
33099at147545	34.0284	0.7936	0.0233
91275at147545	33.2462	0.9035	0.0272
60920at147545	33.655	0.9571	0.0284
29398at147545	32.6177	0.7498	0.023
78806at147545	31.518	0.5831	0.0185
118119at147545	30.0032	0.8146	0.0272
95473at147545	28.0483	0.4226	0.0151
111668at147545	28.197	0.7434	0.0264
47488at147545	27.2475	0.8	0.0294
61270at147545	27.2103	0.8776	0.0323
101424at147545	27.168	0.5951	0.0219
85577at147545	26.8807	0.9146	0.034
60098at147545	25.9957	0.6995	0.0269
30334at147545	24.8049	0.8647	0.0349
112316at147545	24.5575	0.725	0.0295
101803at147545	24.5426	0.8275	0.0337
49761at147545	24.988	0.8037	0.0322
30420at147545	24.0213	0.8623	0.0359
102942at147545	22.6478	0.8581	0.0379
66556at147545	22.5597	0.6242	0.0277
10553at147545	22.862	0.6204	0.0271
45324at147545	21.6864	0.9083	0.0419
70481at147545	21.6449	0.763	0.0353
46768at147545	21.6429	0.9035	0.0417
103491at147545	21.1277	0.9783	0.0463
55734at147545	20.9607	0.6048	0.0289
115802at147545	20.5439	0.8998	0.0438
100489at147545	20.4678	0.7994	0.0391
37149at147545	20.62	0.6194	0.03
74241at147545	19.7303	0.8019	0.0406
103613at147545	19.5626	0.8461	0.0433
52223at147545	19.5446	0.8375	0.0428
99572at147545	19.3742	0.5213	0.0269
119262at147545	19.2939	0.8169	0.0423
74882at147545	19.1631	0.7993	0.0417
117777at147545	19.266	0.4938	0.0256
70760at147545	19.0153	0.5688	0.0299
45769at147545	18.9344	0.8647	0.0457
113970at147545	18.8924	0.9984	0.0528
84672at147545	18.8563	0.3514	0.0186
31211at147545	18.7363	0.8297	0.0443
69241at147545	18.5952	0.8848	0.0476
76922at147545	18.5699	0.7817	0.0421
48331at147545	18.2871	0.8008	0.0438
5796at147545	18.0955	0.2931	0.0162
41498at147545	18.314	0.5104	0.0279
25804at147545	17.9587	0.746	0.0415
27437at147545	17.8505	0.8103	0.0454
33003at147545	17.6817	0.8937	0.0505
92439at147545	17.6135	0.7592	0.0431
