GENE	TREENESS_RATIO	treeness	RCV
100008at147545	10.4006	0.9508	0.0914
100064at147545	7.4579	0.8925	0.1197
100092at147545	5.1671	0.5695	0.1102
100165at147545	1.7037	0.1252	0.0735
10018at147545	3.2685	0.2946	0.0901
100217at147545	3.1858	0.5406	0.1697
100255at147545	1.7476	0.7729	0.4423
100287at147545	0.5896	0.3318	0.5627
100292at147545	4.3108	0.5257	0.122
100306at147545	16.7509	0.8735	0.0521
100316at147545	18.425	0.5267	0.0286
100337at147545	1.9492	0.4536	0.2327
100344at147545	4.9525	0.4707	0.095
100375at147545	5.6852	0.3617	0.0636
100376at147545	13.147	0.7354	0.0559
100432at147545	7.9379	0.8095	0.102
10044at147545	3.5647	0.4154	0.1165
100457at147545	3.7419	0.4276	0.1143
100489at147545	25.4649	0.9346	0.0367
100513at147545	2.9964	0.2896	0.0967
100520at147545	3.4208	0.4387	0.1282
100521at147545	6.6227	0.4643	0.0701
100525at147545	4.8575	0.7427	0.1529
100536at147545	2.7348	0.4695	0.1717
100544at147545	2.9819	0.8231	0.276
100555at147545	4.0023	0.4523	0.113
100577at147545	1.6791	0.4517	0.269
10057at147545	2.0344	0.5045	0.248
100596at147545	9.0802	0.6142	0.0676
10065at147545	5.9675	0.8699	0.1458
100704at147545	10.6907	0.3814	0.0357
100729at147545	10.6727	0.869	0.0814
100737at147545	13.6079	0.5358	0.0394
100738at147545	4.7686	0.6309	0.1323
100741at147545	3.0479	0.3918	0.1286
100767at147545	11.7862	0.8747	0.0742
100804at147545	6.2751	0.8894	0.1417
10080at147545	5.1838	0.3602	0.0695
100855at147545	4.945	0.8353	0.1689
100859at147545	11.4847	0.8375	0.0729
100882at147545	9.1372	0.9079	0.0994
10093at147545	3.6629	0.5183	0.1415
100955at147545	3.6285	0.4261	0.1174
100962at147545	10.7386	0.8674	0.0808
100998at147545	17.8882	0.9261	0.0518
10108at147545	5.2613	0.8339	0.1585
101134at147545	10.452	0.6547	0.0626
101153at147545	5.0728	0.3966	0.0782
101260at147545	5.7152	0.2847	0.0498
101326at147545	3.5236	0.7179	0.2037
101348at147545	13.739	0.6671	0.0486
101352at147545	1.9636	0.6044	0.3078
101370at147545	5.9907	0.4866	0.0812
101406at147545	6.4606	0.4978	0.0771
101424at147545	37.9476	0.794	0.0209
10144at147545	13.1526	0.9233	0.0702
101460at147545	4.7144	0.6697	0.1421
101524at147545	2.7829	0.1844	0.0663
101525at147545	3.4274	0.3982	0.1162
101545at147545	6.2473	0.8623	0.138
101552at147545	7.7839	0.9379	0.1205
101574at147545	12.3497	0.4472	0.0362
101588at147545	2.0296	0.5026	0.2476
101702at147545	4.1557	0.8315	0.2001
101765at147545	4.7376	0.8658	0.1827
101771at147545	2.7493	0.6024	0.2191
101788at147545	9.2077	0.8651	0.094
101795at147545	10.0089	0.6779	0.0677
101803at147545	18.0758	0.5555	0.0307
10183at147545	1.8231	0.2801	0.1536
10187at147545	12.421	0.6919	0.0557
101882at147545	2.6464	0.4533	0.1713
101901at147545	7.2125	0.895	0.1241
101929at147545	4.3097	0.5037	0.1169
101957at147545	7.3708	0.7065	0.0959
101958at147545	1.9168	0.2976	0.1553
102024at147545	3.6978	0.5483	0.1483
102054at147545	4.0657	0.5603	0.1378
102089at147545	2.1701	0.397	0.1829
102114at147545	2.0633	0.6233	0.3021
102189at147545	4.1633	0.6332	0.1521
102223at147545	7.2355	0.8829	0.122
102229at147545	5.8731	0.8216	0.1399
10234at147545	7.6711	0.5719	0.0745
102406at147545	4.1341	0.2948	0.0713
10240at147545	3.0654	0.4453	0.1453
10243at147545	5.7675	0.3066	0.0532
102449at147545	8.6047	0.832	0.0967
102455at147545	2.1983	0.3611	0.1642
102473at147545	2.9448	0.3053	0.1037
10249at147545	2.7808	0.2933	0.1055
102519at147545	7.6162	0.6577	0.0863
102540at147545	16.6134	0.554	0.0333
102553at147545	3.1381	0.735	0.2342
102617at147545	6.5681	0.4323	0.0658
102635at147545	4.7738	0.5606	0.1174
102637at147545	4.3698	0.4954	0.1134
102648at147545	1.9371	0.3973	0.2051
102682at147545	20.526	0.8383	0.0408
10278at147545	17.2365	0.8876	0.0515
102831at147545	4.6657	0.5336	0.1144
102869at147545	6.4917	0.8036	0.1238
102917at147545	4.0767	0.6245	0.1532
102942at147545	26.988	0.9461	0.0351
102987at147545	15.6017	0.9952	0.0638
103059at147545	1.3721	0.2046	0.1491
103174at147545	5.9798	0.9076	0.1518
103229at147545	2.7724	0.4006	0.1445
103233at147545	4.4958	0.7835	0.1743
103252at147545	7.605	0.8944	0.1176
103280at147545	2.4409	0.4548	0.1863
103284at147545	6.4119	0.8758	0.1366
10330at147545	23.454	0.8999	0.0384
103351at147545	4.952	0.5812	0.1174
103354at147545	3.7058	0.5963	0.1609
103488at147545	6.2473	0.2847	0.0456
103491at147545	21.2995	0.9783	0.0459
103495at147545	1.9453	0.4396	0.226
103545at147545	1.6898	0.1917	0.1135
103547at147545	12.5888	0.8127	0.0646
10354at147545	3.3126	0.4923	0.1486
103576at147545	2.3621	0.4606	0.195
103613at147545	22.7516	0.8857	0.0389
103701at147545	2.7757	0.6824	0.2459
103719at147545	4.6185	0.352	0.0762
103721at147545	2.4047	0.63	0.262
103754at147545	6.1946	0.7317	0.1181
103769at147545	1.9963	0.3804	0.1905
1037at147545	0.7657	0.2959	0.3864
103811at147545	8.6121	0.8764	0.1018
103814at147545	0.9306	0.1182	0.127
10381at147545	2.6764	0.6569	0.2455
103822at147545	3.2059	0.4769	0.1487
103826at147545	3.104	0.3884	0.1251
103870at147545	9.1678	0.7318	0.0798
103872at147545	2.7334	0.5891	0.2155
103906at147545	4.5134	0.859	0.1903
103916at147545	5.5599	0.6004	0.108
103933at147545	19.7189	0.6398	0.0324
103970at147545	2.7166	0.3728	0.1372
104034at147545	6.3335	0.821	0.1296
104070at147545	4.1308	0.2146	0.052
104083at147545	8.0643	0.7172	0.0889
104148at147545	5.9096	0.9087	0.1538
104149at147545	11.4313	0.9095	0.0796
104175at147545	11.1408	0.8174	0.0734
104205at147545	2.9536	0.541	0.1832
104226at147545	2.3667	0.2893	0.1222
104252at147545	5.5074	0.7432	0.1349
104345at147545	3.9825	0.8093	0.2032
104348at147545	5.5272	0.5345	0.0967
104385at147545	0.8837	0.3364	0.3807
104406at147545	0.9722	0.2005	0.2062
104412at147545	2.0342	0.1975	0.0971
104427at147545	1.689	0.273	0.1616
104484at147545	3.7598	0.8376	0.2228
104489at147545	5.0456	0.3357	0.0665
1044at147545	3.9722	0.2424	0.061
10450at147545	5.0836	0.6324	0.1244
104555at147545	3.466	0.7137	0.2059
104627at147545	6.3958	0.4742	0.0741
104636at147545	3.0243	0.299	0.0989
1046at147545	2.5711	0.5757	0.2239
104760at147545	3.3868	0.4758	0.1405
104778at147545	0.8671	0.3413	0.3936
104869at147545	2.3936	0.5474	0.2287
10488at147545	5.1268	0.7791	0.152
104917at147545	2.7937	0.2441	0.0874
104929at147545	3.9863	0.7092	0.1779
104936at147545	5.8835	0.3661	0.0622
104938at147545	3.0812	0.3752	0.1218
105063at147545	4.0267	0.592	0.147
10508at147545	4.0319	0.3955	0.0981
105164at147545	3.7309	0.4669	0.1251
105238at147545	3.2599	0.564	0.173
105240at147545	8.8481	0.7472	0.0844
105318at147545	3.586	0.4529	0.1263
105327at147545	5.1532	0.5471	0.1062
105354at147545	9.5493	0.4524	0.0474
105359at147545	7.6566	0.9244	0.1207
105367at147545	0.9585	0.3033	0.3164
10536at147545	1.8033	0.3734	0.207
105379at147545	7.8203	0.4325	0.0553
105434at147545	0.6079	0.3929	0.6463
105456at147545	3.6983	0.4167	0.1127
105463at147545	7.8743	0.5804	0.0737
105481at147545	6.0543	0.2362	0.039
105486at147545	7.7922	0.7988	0.1025
10553at147545	7.482	0.19	0.0254
105544at147545	4.2013	0.3412	0.0812
105563at147545	2.5505	0.479	0.1878
10563at147545	2.9705	0.4617	0.1554
105685at147545	4.0338	0.8941	0.2216
105743at147545	2.1715	0.7044	0.3244
10574at147545	4.2418	0.5437	0.1282
105762at147545	2.1252	0.4064	0.1912
105767at147545	3.4189	0.3033	0.0887
10581at147545	2.6428	0.389	0.1472
105841at147545	3.5054	0.71	0.2025
105875at147545	3.1167	0.6168	0.1979
105892at147545	2.7536	0.5579	0.2026
105928at147545	1.5733	0.2683	0.1705
105933at147545	2.7575	0.1935	0.0702
105997at147545	4.0539	0.5749	0.1418
106026at147545	3.507	0.3553	0.1013
106063at147545	5.5453	0.403	0.0727
106069at147545	10.3041	0.6073	0.0589
10607at147545	5.5707	0.5956	0.1069
10613at147545	1.935	0.2764	0.1428
106146at147545	9.1015	0.9121	0.1002
106210at147545	4.7114	0.3387	0.0719
106226at147545	2.1081	0.4774	0.2264
106247at147545	3.2208	0.4502	0.1398
10625at147545	0.1706	0.0203	0.119
106293at147545	4.4013	0.399	0.0907
10634at147545	6.0635	0.6341	0.1046
106352at147545	11.2275	0.4132	0.0368
106374at147545	2.7335	0.4198	0.1536
106411at147545	1.132	0.3797	0.3355
106412at147545	5.788	0.4618	0.0798
106463at147545	5.095	0.3709	0.0728
106474at147545	2.5612	0.4267	0.1666
106485at147545	4.5093	0.6034	0.1338
106600at147545	3.4614	0.7541	0.2179
106618at147545	3.1409	0.3965	0.1262
106622at147545	4.5176	0.9116	0.2018
106636at147545	5.0412	0.5453	0.1082
106644at147545	6.794	0.9568	0.1408
106653at147545	7.8046	0.3812	0.0488
106662at147545	6.4133	0.6774	0.1056
106668at147545	3.8127	0.4906	0.1287
106681at147545	4.2019	0.508	0.1209
10670at147545	3.1869	0.2136	0.067
106778at147545	9.823	0.9207	0.0937
106807at147545	5.4301	0.4968	0.0915
106834at147545	5.2227	0.588	0.1126
106841at147545	5.956	0.4805	0.0807
106852at147545	18.7582	0.9335	0.0498
10687at147545	2.7415	0.682	0.2488
1068at147545	3.3061	0.6403	0.1937
106905at147545	2.3542	0.2346	0.0997
10690at147545	1.3154	0.1399	0.1064
107009at147545	5.6068	0.5246	0.0936
10707at147545	2.1857	0.5286	0.2418
10712at147545	3.1715	0.5506	0.1736
107138at147545	1.6032	0.371	0.2314
107234at147545	3.8061	0.7391	0.1942
107249at147545	1.5741	0.4077	0.259
107256at147545	3.8646	0.3646	0.0943
107361at147545	3.1211	0.5847	0.1874
107420at147545	2.8854	0.2699	0.0935
107443at147545	4.3447	0.643	0.148
107454at147545	2.1969	0.224	0.1019
107512at147545	16.6525	0.8651	0.052
107522at147545	3.4379	0.5612	0.1632
107558at147545	15.0796	0.7383	0.049
107606at147545	9.6897	0.8148	0.0841
107607at147545	6.1528	0.6342	0.1031
107615at147545	7.8127	0.7055	0.0903
107636at147545	21.5794	0.7982	0.037
107672at147545	1.3697	0.4062	0.2966
1076at147545	1.7383	0.3651	0.21
107727at147545	4.86	0.7266	0.1495
107739at147545	10.3195	0.9739	0.0944
107776at147545	3.039	0.7899	0.2599
107808at147545	22.0661	0.489	0.0222
107844at147545	3.7711	0.444	0.1177
107867at147545	3.8916	0.348	0.0894
107909at147545	5.7536	0.7588	0.1319
107930at147545	5.1223	0.7656	0.1495
108018at147545	2.4933	0.3243	0.1301
108147at147545	4.5501	0.4507	0.099
10814at147545	3.3199	0.7741	0.2332
108175at147545	2.4816	0.4483	0.1806
108201at147545	2.3908	0.7991	0.3342
108223at147545	2.9691	0.5178	0.1744
108226at147545	3.9619	0.7233	0.1826
108234at147545	3.4104	0.4139	0.1214
108271at147545	4.3585	0.3864	0.0886
108273at147545	2.2836	0.3116	0.1364
10829at147545	3.6709	0.3855	0.105
108318at147545	12.4279	0.6443	0.0518
108320at147545	3.3837	0.2497	0.0738
108372at147545	7.1471	0.7377	0.1032
108390at147545	4.531	0.7851	0.1733
108411at147545	7.1498	0.8098	0.1133
108523at147545	1.4232	0.4503	0.3164
108549at147545	0.7114	0.0178	0.0251
108575at147545	11.0785	0.3342	0.0302
108583at147545	3.957	0.3969	0.1003
108584at147545	3.8682	0.1772	0.0458
108596at147545	11.0395	0.8446	0.0765
108659at147545	7.5193	0.611	0.0813
108669at147545	4.0233	0.3802	0.0945
108739at147545	4.0439	0.428	0.1058
108745at147545	4.9125	0.6799	0.1384
108761at147545	2.1088	0.4845	0.2298
108762at147545	1.721	0.201	0.1168
108788at147545	4.8501	0.6868	0.1416
108878at147545	6.3146	0.2164	0.0343
109051at147545	6.5039	0.4778	0.0735
109105at147545	3.9439	0.333	0.0844
109107at147545	0.4726	0.0224	0.0475
109156at147545	4.6121	0.734	0.1591
109388at147545	5.111	0.7081	0.1385
109398at147545	13.9119	0.8742	0.0628
109421at147545	3.6597	0.5617	0.1535
10944at147545	2.033	0.4204	0.2068
109454at147545	1.1735	0.4427	0.3773
109478at147545	4.7907	0.3467	0.0724
109483at147545	13.0334	0.4372	0.0335
109532at147545	15.0288	0.8675	0.0577
109575at147545	16.5429	0.7284	0.044
109600at147545	2.1362	0.1929	0.0903
109627at147545	15.4115	0.9239	0.0599
109717at147545	6.4499	0.8223	0.1275
109722at147545	10.4602	0.8972	0.0858
109732at147545	4.3322	0.5748	0.1327
109775at147545	4.6175	0.278	0.0602
109787at147545	9.2036	0.8352	0.0907
109790at147545	10.1043	0.6433	0.0637
109799at147545	3.211	0.8962	0.2791
10979at147545	1.7971	0.3672	0.2043
109807at147545	2.2371	0.4671	0.2088
109841at147545	5.2631	0.8956	0.1702
109884at147545	3.9188	0.2899	0.074
1098at147545	2.7642	0.4211	0.1523
109952at147545	8.1618	0.6556	0.0803
109999at147545	3.3575	0.4988	0.1486
110011at147545	3.088	0.2348	0.076
110018at147545	4.3089	0.7486	0.1737
110026at147545	3.2096	0.2953	0.092
11002at147545	6.4804	0.2367	0.0365
11005at147545	12.2319	0.8138	0.0665
110073at147545	2.7975	0.5766	0.2061
110159at147545	4.9767	0.7065	0.142
110166at147545	4.1795	0.8504	0.2035
110295at147545	3.7352	0.3719	0.0996
110307at147545	0.8376	0.3359	0.401
110382at147545	4.104	0.4846	0.1181
110426at147545	2.9499	0.3183	0.1079
110427at147545	3.4955	0.7993	0.2287
110428at147545	6.8198	0.4618	0.0677
